mueble,name,abbr,material,color,ancho(cm),largo(cm),are(cm),veta,canto,canto_len(cm),posicion,cantidad,x(cm),y(cm),z(cm)
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLCLN_baseA.001,ARGR_O_H_BA0,AGLOMERADO,OSCURO,48.5,181.5,8802.75,NO_TIENE,LARGO/CLARO:181.5;,181.5,HORIZONTAL,1,181.5,48.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLCLN_baseB.001,ARGR_O_H_BA1,AGLOMERADO,OSCURO,48.5,76.5,3710.25,NO_TIENE,LARGO/CLARO:76.5;,76.5,HORIZONTAL,1,76.5,48.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLCLN_paneA.001,ARGR_O_H_PA2,AGLOMERADO,OSCURO,48.5,183.0,8875.5,NO_TIENE,LARGO/CLARO:183.0;,183.0,HORIZONTAL,1,183.0,48.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLCLN_paneB.002,ARGR_O_H_PA3,AGLOMERADO,OSCURO,48.5,78.0,3783.0,NO_TIENE,LARGO/CLARO:78.0;,78.0,HORIZONTAL,1,78.0,48.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLOLN_paneB.001,ARGR_O_H_PA4,AGLOMERADO,OSCURO,45.0,76.0,3420.0,NO_TIENE,LARGO/OSCURO:76.0;,76.0,HORIZONTAL,1,76.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLOLN_paneC.001,ARGR_O_H_PA5,AGLOMERADO,OSCURO,45.0,67.5,3037.5,NO_TIENE,LARGO/OSCURO:67.5;,67.5,HORIZONTAL,1,67.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLOLN_paneC.002,ARGR_O_H_PA6,AGLOMERADO,OSCURO,45.0,55.0,2475.0,NO_TIENE,LARGO/OSCURO:55.0;,55.0,HORIZONTAL,1,55.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLOLN_paneC.003,ARGR_O_H_PA7,AGLOMERADO,OSCURO,45.0,55.0,2475.0,NO_TIENE,LARGO/OSCURO:55.0;,55.0,HORIZONTAL,1,55.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLOLN_paneD.001,ARGR_O_H_PA8,AGLOMERADO,OSCURO,45.0,55.0,2475.0,NO_TIENE,LARGO/OSCURO:55.0;,55.0,HORIZONTAL,1,55.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLOLN_paneD.002,ARGR_O_H_PA9,AGLOMERADO,OSCURO,45.0,55.0,2475.0,NO_TIENE,LARGO/OSCURO:55.0;,55.0,HORIZONTAL,1,55.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLOLN_paneD.003,ARGR_O_H_PA10,AGLOMERADO,OSCURO,45.0,55.0,2475.0,NO_TIENE,LARGO/OSCURO:55.0;,55.0,HORIZONTAL,1,55.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANANLOLN_paneD.004,ARGR_O_H_PA11,AGLOMERADO,OSCURO,45.0,55.0,2475.0,NO_TIENE,LARGO/OSCURO:55.0;,55.0,HORIZONTAL,1,55.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANAOLCLN_baseC.001,ARGR_O_H_BA12,AGLOMERADO,OSCURO,48.5,183.0,8875.5,NO_TIENE,ANCHO/OSCURO:48.5;LARGO/CLARO:183.0;,231.5,HORIZONTAL,1,183.0,48.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntANAOLCLN_baseD.001,ARGR_O_H_BA13,AGLOMERADO,OSCURO,48.5,78.0,3783.0,NO_TIENE,ANCHO/OSCURO:48.5;LARGO/CLARO:78.0;,126.5,HORIZONTAL,1,78.0,48.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneA.001,ARGR_O_H_PA14,AGLOMERADO,OSCURO,31.5,43.5,1370.25,NO_TIENE,ANCHO/OSCURO:31.5;,31.5,HORIZONTAL,1,31.5,43.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneA.002,ARGR_O_H_PA15,AGLOMERADO,OSCURO,31.5,43.5,1370.25,NO_TIENE,ANCHO/OSCURO:31.5;,31.5,HORIZONTAL,1,31.5,43.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneA.003,ARGR_O_H_PA16,AGLOMERADO,OSCURO,31.5,43.5,1370.25,NO_TIENE,ANCHO/OSCURO:31.5;,31.5,HORIZONTAL,1,31.5,43.5,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneB.001,ARGR_O_H_PA17,AGLOMERADO,OSCURO,40.0,45.0,1800.0,NO_TIENE,ANCHO/OSCURO:40.0;,40.0,HORIZONTAL,1,40.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneB.002,ARGR_O_H_PA18,AGLOMERADO,OSCURO,40.0,45.0,1800.0,NO_TIENE,ANCHO/OSCURO:40.0;,40.0,HORIZONTAL,1,40.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneB.003,ARGR_O_H_PA19,AGLOMERADO,OSCURO,40.0,45.0,1800.0,NO_TIENE,ANCHO/OSCURO:40.0;,40.0,HORIZONTAL,1,40.0,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.001,ARGR_O_H_PA20,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.002,ARGR_O_H_PA21,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.003,ARGR_O_H_PA22,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.004,ARGR_O_H_PA23,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.005,ARGR_O_H_PA24,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.006,ARGR_O_H_PA25,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.007,ARGR_O_H_PA26,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.008,ARGR_O_H_PA27,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.009,ARGR_O_H_PA28,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_horizontal_osc_vetaN_cntAOANLNLN_paneC.010,ARGR_O_H_PA29,AGLOMERADO,OSCURO,34.5,45.0,1552.5,NO_TIENE,ANCHO/OSCURO:34.5;,34.5,HORIZONTAL,1,34.5,45.0,1.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLCLN_paneF.002,ARGR_O_VL_PA30,AGLOMERADO,OSCURO,15.0,48.5,727.5,NO_TIENE,LARGO/CLARO:48.5;,48.5,VERICAL_LATERAL,1,1.5,48.5,15.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLN_paneB.001,ARGR_O_VL_PA31,AGLOMERADO,OSCURO,45.0,183.5,8257.5,NO_TIENE,LARGO/OSCURO:183.5;,183.5,VERICAL_LATERAL,1,1.5,45.0,183.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLN_paneB.002,ARGR_O_VL_PA32,AGLOMERADO,OSCURO,45.0,183.5,8257.5,NO_TIENE,LARGO/OSCURO:183.5;,183.5,VERICAL_LATERAL,1,1.5,45.0,183.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLN_paneC.001,ARGR_O_VL_PA33,AGLOMERADO,OSCURO,45.0,198.5,8932.5,NO_TIENE,LARGO/OSCURO:198.5;,198.5,VERICAL_LATERAL,1,1.5,45.0,198.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLN_paneC.002,ARGR_O_VL_PA34,AGLOMERADO,OSCURO,45.0,198.5,8932.5,NO_TIENE,LARGO/OSCURO:198.5;,198.5,VERICAL_LATERAL,1,1.5,45.0,198.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLN_paneC.003,ARGR_O_VL_PA35,AGLOMERADO,OSCURO,45.0,198.5,8932.5,NO_TIENE,LARGO/OSCURO:198.5;,198.5,VERICAL_LATERAL,1,1.5,45.0,198.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLN_paneF.001,ARGR_O_VL_PA36,AGLOMERADO,OSCURO,15.0,48.5,727.5,NO_TIENE,LARGO/OSCURO:48.5;,48.5,VERICAL_LATERAL,1,1.5,48.5,15.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.001,ARGR_O_VL_CA37,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.001,ARGR_O_VL_CA37,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
