mueble,name,abbr,material,color,ancho(mm),largo(mm),are(mm),veta,canto,canto_len(mm),posicion,cantidad,x(mm),y(mm),z(mm)
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoAOAOLOLO_cajonC.002,COPR_O_VL_CA0,AGLOMERADO,OSCURO,100.0,515.0,51500.0,NO_TIENE,ANCHO/OSCURO:100.0;ANCHO/OSCURO:100.0;LARGO/OSCURO:515.0;LARGO/OSCURO:515.0;,1230.0,VERICAL_LATERAL,1,15.0,515.0,100.0
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoAOAOLOLO_cajonC.001,COPR_O_VL_CA1,AGLOMERADO,OSCURO,100.0,515.0,51500.0,NO_TIENE,ANCHO/OSCURO:100.0;ANCHO/OSCURO:100.0;LARGO/OSCURO:515.0;LARGO/OSCURO:515.0;,1230.0,VERICAL_LATERAL,1,15.0,515.0,100.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_oscuro_vetaN_cantoANANLOLO_cajonC.002,COPR_O_VF_CA2,AGLOMERADO,OSCURO,15.0,100.0,1500.0,NO_TIENE,LARGO/OSCURO:100.0;LARGO/OSCURO:100.0;,200.0,VERICAL_FRONTAL,1,15.0,531.0,100.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_oscuro_vetaN_cantoANANLOLO_cajonC.001,COPR_O_VF_CA3,AGLOMERADO,OSCURO,15.0,100.0,1500.0,NO_TIENE,LARGO/OSCURO:100.0;LARGO/OSCURO:100.0;,200.0,VERICAL_FRONTAL,1,15.0,531.0,100.0
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoAOAOLOLO_cajonA.001,COPR_O_VL_CA4,AGLOMERADO,OSCURO,143.0,415.0,59345.0,NO_TIENE,ANCHO/OSCURO:143.0;ANCHO/OSCURO:143.0;LARGO/OSCURO:415.0;LARGO/OSCURO:415.0;,1116.0,VERICAL_LATERAL,1,15.0,415.0,143.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_oscuro_vetaN_cantoANANLOLO_cajonA.002,COPR_O_VF_CA5,AGLOMERADO,OSCURO,15.0,143.0,2145.0,NO_TIENE,LARGO/OSCURO:143.0;LARGO/OSCURO:143.0;,286.0,VERICAL_FRONTAL,1,15.0,531.0,143.0
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoAOAOLOLO_cajonB.002,COPR_O_VL_CA6,AGLOMERADO,OSCURO,272.0,515.0,140080.0,NO_TIENE,ANCHO/OSCURO:272.0;ANCHO/OSCURO:272.0;LARGO/OSCURO:515.0;LARGO/OSCURO:515.0;,1574.0,VERICAL_LATERAL,1,15.0,515.0,272.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_oscuro_vetaN_cantoANANLOLO_cajonB.001,COPR_O_VF_CA7,AGLOMERADO,OSCURO,272.0,531.0,144432.0,NO_TIENE,LARGO/OSCURO:531.0;LARGO/OSCURO:531.0;,1062.0,VERICAL_FRONTAL,1,531.0,15.0,272.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_claro_vetaA_cantoACACLCLC_cajonB.001,COPR_C_VF_CA8,AGLOMERADO,CLARO,595.0,337.0,200515.0,ANCHO,ANCHO/CLARO:595.0;ANCHO/CLARO:595.0;LARGO/CLARO:337.0;LARGO/CLARO:337.0;,1864.0,VERICAL_FRONTAL,1,595.0,15.0,337.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_claro_vetaA_cantoACACLCLC_cajonA.001,COPR_C_VF_CA9,AGLOMERADO,CLARO,595.0,348.0,207060.0,ANCHO,ANCHO/CLARO:595.0;ANCHO/CLARO:595.0;LARGO/CLARO:348.0;LARGO/CLARO:348.0;,1886.0,VERICAL_FRONTAL,1,595.0,15.0,348.0
